AA -0.090000
AC 0.010000
AF -0.020000
AI -0.070000
AL -0.040000
AM 0.000000
AV -0.070000
AW 0.010000
AY 0.050000
CC -0.540000
DA 0.180000
DC 0.310000
DD 0.030000
DF 0.260000
DG 0.130000
DI 0.240000
DL 0.280000
DM 0.160000
DN -0.100000
DQ -0.190000
DS -0.140000
DT -0.110000
DV 0.270000
DW 0.050000
DY -0.070000
EA 0.100000
EC 0.260000
ED 0.040000
EE -0.080000
EF 0.330000
EG -0.060000
EI 0.320000
EL 0.410000
EM 0.370000
EN -0.100000
EQ -0.270000
ES -0.200000
ET -0.130000
EV 0.410000
EW 0.150000
EY -0.030000
FC -0.020000
FF -0.220000
FM -0.240000
GA -0.050000
GC 0.030000
GF 0.160000
GG -0.260000
GI 0.170000
GL 0.180000
GM 0.100000
GV 0.090000
GW 0.030000
GY 0.030000
HA 0.100000
HC -0.010000
HD -0.190000
HE -0.260000
HF 0.000000
HG 0.040000
HH -0.360000
HI 0.180000
HL 0.170000
HM -0.020000
HN 0.020000
HQ -0.090000
HS -0.060000
HT 0.500000
HV 0.190000
HW -0.080000
HY -0.050000
IC -0.030000
IF -0.110000
II -0.180000
IM -0.130000
KA 0.130000
KC 0.350000
KD -0.580000
KE -0.490000
KF 0.220000
KG 0.010000
KH 0.100000
KI 0.230000
KK 0.160000
KL 0.240000
KM 0.240000
KN -0.170000
KQ -0.180000
KR 0.280000
KS -0.050000
KT -0.020000
KV 0.220000
KW -0.050000
KY -0.120000
LC -0.000000
LF -0.140000
LI -0.200000
LL -0.190000
LM -0.120000
MC -0.030000
MM -0.190000
NA 0.080000
NC 0.100000
NF 0.070000
NG -0.010000
NI 0.120000
NL 0.140000
NM 0.040000
NN -0.100000
NS -0.040000
NT -0.090000
NV 0.150000
NW 0.090000
NY -0.060000
PA 0.050000
PC 0.030000
PD 0.040000
PE 0.030000
PF 0.030000
PG -0.080000
PH -0.080000
PI 0.120000
PK 0.050000
PL 0.090000
PM 0.010000
PN -0.100000
PP -0.110000
PQ -0.040000
PR -0.030000
PS -0.020000
PT -0.030000
PV 0.060000
PW -0.220000
PY -0.130000
QA 0.070000
QC 0.210000
QF 0.220000
QG -0.100000
QI 0.320000
QL 0.260000
QM 0.190000
QN -0.200000
QQ -0.270000
QS -0.120000
QT -0.120000
QV 0.250000
QW 0.060000
QY 0.020000
RA 0.180000
RC 0.330000
RD -0.520000
RE -0.510000
RF 0.200000
RG 0.020000
RH -0.020000
RI 0.210000
RL 0.210000
RM 0.210000
RN -0.140000
RQ -0.080000
RR 0.030000
RS -0.040000
RT -0.030000
RV 0.220000
RW -0.030000
RY -0.100000
SA 0.000000
SC 0.080000
SF 0.100000
SG -0.100000
SI 0.200000
SL 0.200000
SM 0.190000
SS -0.170000
ST -0.130000
SV 0.160000
SW 0.150000
SY 0.040000
TA 0.000000
TC 0.120000
TF 0.130000
TG -0.080000
TI 0.080000
TL 0.130000
TM 0.090000
TT -0.080000
TV 0.100000
TW 0.190000
TY 0.080000
VC -0.030000
VF -0.110000
VI -0.160000
VL -0.190000
VM -0.030000
VV -0.200000
WC -0.060000
WF -0.080000
WI -0.050000
WL -0.030000
WM -0.210000
WV -0.020000
WW -0.110000
YC 0.160000
YF -0.020000
YI 0.020000
YL 0.000000
YM -0.080000
YV 0.080000
YW 0.010000
YY 0.000000
